model,eps,synth_seed,intervention,accuracy,auc,dp_gap,eo_gap,dp_gap_unm,eo_gap_unm,dp_ratio,eo_ratio
logreg,2.0,8.0,reweighting,0.7582858457056704,0.8249227413919636,0.2933860422685114,0.6111111111111112,0.3186255131518929,0.5,0.9207864096201563,1.2222222222222223
logreg,2.0,8.0,expgrad,0.7558837809521376,0.7488792865452093,0.2927778622472252,0.5277777777777778,0.3186255131518929,0.5,0.9188776484061846,1.0555555555555556
logreg,2.0,8.0,threshold,0.7325275343060844,0.8279094352746439,0.2461540044424578,0.5,0.3186255131518929,0.5,0.7725495739731081,1.0
logreg,2.0,9.0,reweighting,0.7584902767485243,0.8265637982360466,0.2920176372206173,0.4677777777777777,0.3154325680401399,0.5055555555555555,0.9257688229056202,0.9252747252747251
logreg,2.0,9.0,expgrad,0.7557815654307106,0.7449871468652918,0.2666261213319142,0.4722222222222222,0.3154325680401399,0.5055555555555555,0.8452713776149617,0.9340659340659341
logreg,2.0,9.0,threshold,0.7409858687041627,0.8296774668069137,0.3383913638436978,0.4499999999999999,0.3154325680401399,0.5055555555555555,1.0727851152029306,0.89010989010989
logreg,4.0,0.0,reweighting,0.7610456647841974,0.8277850779536404,0.262147754133831,0.4722222222222222,0.3154157756022153,0.508888888888889,0.8311180809942654,0.927947598253275
logreg,4.0,0.0,expgrad,0.756318196918202,0.7475953114394688,0.352828546562228,0.6388888888888888,0.3154157756022153,0.508888888888889,1.1186141399826355,1.2554585152838424
logreg,4.0,0.0,threshold,0.7448956123987428,0.8309574888787125,0.1847720484585471,0.3888888888888888,0.3154157756022153,0.508888888888889,0.585804714763447,0.7641921397379909
logreg,4.0,1.0,reweighting,0.7630644213323793,0.8317451329153291,0.2857837920024327,0.4722222222222222,0.3175444056767174,0.5077777777777778,0.8999805598634314,0.9299781181619255
logreg,4.0,1.0,expgrad,0.7581836301842435,0.7493665823009175,0.2661699863159495,0.65,0.3175444056767174,0.5077777777777778,0.8382134326968095,1.2800875273522976
logreg,4.0,1.0,threshold,0.7559859964735645,0.8349091035058145,0.1989524443186445,0.4499999999999999,0.3175444056767174,0.5077777777777778,0.6265342445402491,0.8862144420131289
logreg,4.0,2.0,reweighting,0.7618378350752562,0.828231276997097,0.2835031169226091,0.5277777777777778,0.3172219551399747,0.51,0.8937058495762467,1.0348583877995643
logreg,4.0,2.0,expgrad,0.7516162829325633,0.7407644863273083,0.2007934687650595,0.5,0.3172219551399747,0.51,0.6329746901549076,0.9803921568627451
logreg,4.0,2.0,threshold,0.7432601640559119,0.8315539113069026,0.2022964511781201,0.4166666666666666,0.3172219551399747,0.51,0.6377126422061691,0.8169934640522873
logreg,4.0,3.0,reweighting,0.7610201109038407,0.829741495163502,0.285327656986468,0.4722222222222222,0.3158457096512055,0.5,0.9033767066253989,0.9444444444444444
logreg,4.0,3.0,expgrad,0.7605345871770628,0.7516724706469151,0.22895483416442,0.5555555555555556,0.3158457096512055,0.5,0.7248945518913625,1.1111111111111112
logreg,4.0,3.0,threshold,0.7280811591240129,0.8330445882638842,0.1860962273404356,0.4499999999999999,0.3158457096512055,0.5,0.589199794880688,0.8999999999999998
logreg,4.0,4.0,reweighting,0.7602023867324254,0.8279732909389645,0.2953626273376919,0.4722222222222222,0.3198014932698581,0.5055555555555555,0.9235811387799121,0.9340659340659341
logreg,4.0,4.0,expgrad,0.719213962640227,0.7027400234853928,0.2235973848259084,0.6111111111111112,0.3198014932698581,0.5055555555555555,0.6991755496189327,1.208791208791209
logreg,4.0,4.0,threshold,0.7142820637313776,0.8307312485163643,0.2030140496054917,0.75,0.3198014932698581,0.5055555555555555,0.634812700621702,1.4835164835164836
logreg,4.0,5.0,reweighting,0.7632432984948765,0.8289115118398007,0.2621241666471483,0.5,0.315046150092107,0.5144444444444445,0.8320183140486358,0.9719222462203023
logreg,4.0,5.0,expgrad,0.7555260266271433,0.7460545928504291,0.3447780678851174,0.5,0.315046150092107,0.5144444444444445,1.094373214160268,0.9719222462203023
logreg,4.0,5.0,threshold,0.7429024097309176,0.8320480162647621,0.1818587663650567,0.3333333333333333,0.315046150092107,0.5144444444444445,0.5772448459119034,0.6479481641468682
logreg,4.0,6.0,reweighting,0.7617356195538293,0.8282893285822308,0.2822867568800364,0.5555555555555556,0.3179166446671173,0.5133333333333333,0.8879269507125427,1.0822510822510822
logreg,4.0,6.0,expgrad,0.7540950093271663,0.7453978077288652,0.2034006321190221,0.5,0.3179166446671173,0.5133333333333333,0.63979233403145,0.9740259740259741
